"","DailyEst","DailyVar","DailyMethod","vis_count_raw","vis_count_expanded","vis_var_expansion","vis_nperiods1","vis_nperiods2","vis_nperiods3","sonar_count_raw","sonar_count_expanded","sonar_var_expansion","sonar_nperiods1","sonar_nperiods2","sonar_nperiods3","sonar_var_assign_raw","sonar_var_assign_expanded","sonar_var_total","650thresh_count_raw","650thresh_count_expanded","650thresh_var_expansion","interp_count","interp_var","hierinterp","hierinterp_var"
"2025-07-12",44.9708829035979,4508.20872686083,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,44.9708829035979,4508.20872686083
"2025-07-13",47.8902024585605,5937.27256525795,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,47.8902024585605,5937.27256525795
"2025-07-14",41.7857142857143,197.586734693878,"Visual",9,41.7857142857143,197.586734693878,0,7,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-15",63,89.1428571428572,"Visual",21,63,89.1428571428572,8,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-16",36,89.1428571428572,"Visual",12,36,89.1428571428572,8,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-17",42,58.2857142857143,"Visual",14,42,58.2857142857143,8,8,8,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-18",46.2857142857143,95.1428571428571,"Visual",14,46.2857142857143,95.1428571428571,8,7,7,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-19",48,54.8571428571429,"Visual",16,48,54.8571428571429,8,8,4,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-20",53.2857142857143,150.4,"Visual",15,53.2857142857143,150.4,7,8,6,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"2025-07-21",75,192,"Visual",25,75,192,8,8,8,22,66,329.142857142857,8,8,8,6.69283752375238,60.2355377137714,389.378394856629,18,54,318.857142857143,NA,NA,NA,NA
"2025-07-22",63,164.571428571429,"Visual",21,63,164.571428571429,8,8,8,21,61,213.857142857143,8,9,8,8.67489558955896,73.3403286317521,287.197471488895,15,43.6666666666667,165.857142857143,NA,NA,NA,NA
"2025-07-23",27,68.5714285714286,"Visual",9,27,68.5714285714286,8,8,8,10,30,34.2857142857143,8,8,8,3.4263297129713,30.8369674167417,65.122681702456,10,30,34.2857142857143,NA,NA,NA,NA
"2025-07-24",57,147.428571428571,"Visual",19,57,147.428571428571,8,8,8,14,42,65.1428571428572,8,8,8,4.99341077107711,44.940696939694,110.083554082551,13,39,72,NA,NA,NA,NA
"2025-07-25",42,137.142857142857,"Visual",14,42,137.142857142857,8,8,8,9,27,58.2857142857143,8,8,8,5.76394764476448,51.8755288028803,110.161243088595,9,27,72,NA,NA,NA,NA
"2025-07-26",24,54.8571428571429,"Visual",8,24,54.8571428571429,8,8,8,8,24,65.1428571428572,8,8,8,4.11165107510751,37.0048596759676,102.147716818825,7,21,65.1428571428572,NA,NA,NA,NA
"2025-07-27",18,144,"Visual",4,18,144,8,7,0,8,31.5,256.178571428571,NA,8,8,3.31111213121312,56.7149899414941,312.893561370066,7,27,154.285714285714,NA,NA,NA,NA
"2025-07-28",75,390.857142857143,"Visual",25,75,390.857142857143,8,8,8,20,60,147.428571428571,8,8,8,5.82011425142514,52.3810282628263,199.809599691398,19,57,144,NA,NA,NA,NA
"2025-07-29",84,3573.6,"Visual",9,84,3573.6,4,6,0,11,88.2,167.88,4,NA,5,5.31116886688669,357.342738027003,525.222738027003,11,86.4,321.42,NA,NA,NA,NA
"2025-07-30",20.2741623746397,901.921027400664,"Hier Run-timing Mod",0,NA,NA,0,0,0,15,50.4,160.971428571429,8,8,5,8.06040545054505,95.849843909991,256.82127248142,19,64.2,221.4,NA,NA,20.2741623746397,901.921027400664
"2025-07-31",17.8524439507376,735.405096626727,"Hier Run-timing Mod",0,NA,NA,0,0,0,3,9,17.1428571428571,8,8,8,2.71722221222122,24.454999909991,41.5978570528481,4,12,24,NA,NA,17.8524439507376,735.405096626727
"2025-08-01",16.270163932954,555.155570527787,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,6,0.92449201920192,81.8888885688569,NA,2,NA,NA,NA,NA,16.270163932954,555.155570527787
"2025-08-02",15.1165945982114,554.217280727313,"Hier Run-timing Mod",0,NA,NA,0,0,0,2,NA,NA,6,NA,NA,0.914089158915891,38.0909090909091,NA,3,NA,NA,NA,NA,15.1165945982114,554.217280727313
"2025-08-03",13.4625677508012,492.304380176654,"Hier Run-timing Mod",0,NA,NA,0,0,0,1,3.42857142857143,0,8,8,7,2.29239489948995,23.2159636088099,23.2159636088099,6,18.8571428571429,26.8571428571429,NA,NA,13.4625677508012,492.304380176654
"2025-08-04",11.8792952701041,391.270214600067,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,0,0,8,7,7,1.3976396039604,16.2515023714616,16.2515023714616,0,0,0,NA,NA,11.8792952701041,391.270214600067
"2025-08-05",11.5295589158867,364.627190192801,"Hier Run-timing Mod",0,NA,NA,0,0,0,6,18,68.5714285714286,8,8,8,5.50601616161616,49.5541454545455,118.125574025974,14,42,140.571428571429,NA,NA,11.5295589158867,364.627190192801
"2025-08-06",10.3521404044141,287.139280428901,"Hier Run-timing Mod",0,NA,NA,0,0,0,7,21,51.4285714285714,8,8,8,5.42585605560556,48.83270450045,100.261275929021,16,48,82.2857142857143,NA,NA,10.3521404044141,287.139280428901
"2025-08-07",9.41493750689811,222.534118380932,"Hier Run-timing Mod",0,NA,NA,0,0,0,2,6,10.2857142857143,8,8,8,3.43232243224322,30.890901890189,41.1766161759033,10,30,75.4285714285714,NA,NA,9.41493750689811,222.534118380932
"2025-08-08",8.31798378152928,246.150994334321,"Hier Run-timing Mod",0,NA,NA,0,0,0,3,9,17.1428571428571,8,8,8,2.73341334133413,24.6007200720072,41.7435772148643,7,21,24,NA,NA,8.31798378152928,246.150994334321
"2025-08-09",7.42982905317348,164.576004078422,"Hier Run-timing Mod",0,NA,NA,6,0,0,1,3,3.42857142857143,8,8,6,2.03737305730573,19.7224373937394,23.1510088223108,6,18,20.5714285714286,NA,NA,7.42982905317348,164.576004078422
"2025-08-10",0,0,"Visual",0,0,0,8,0,6,0,0,0,8,8,8,1.14897687768777,10.3407918991899,10.3407918991899,2,6,13.7142857142857,NA,NA,NA,NA
"2025-08-11",6.45265396527471,137.78647140475,"Hier Run-timing Mod",0,NA,NA,0,0,8,0,0,0,8,8,8,1.00275514551455,9.02479630963096,9.02479630963096,1,3,6.85714285714286,NA,NA,6.45265396527471,137.78647140475
"2025-08-12",5.78846904383494,115.940573891753,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,5.78846904383494,115.940573891753
"2025-08-13",5.25831753398542,104.935959105731,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,5.25831753398542,104.935959105731
"2025-08-14",4.95063490413037,98.8222711930548,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,4.95063490413037,98.8222711930548
"2025-08-15",4.46942017838678,71.4581107704072,"Hier Run-timing Mod",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,4.46942017838678,71.4581107704072
